"CoNH36_5mM_HPF"
"Wavelength nm."	"Abs."
300.00	0.047
301.00	0.049
302.00	0.053
303.00	0.056
304.00	0.059
305.00	0.063
306.00	0.067
307.00	0.071
308.00	0.076
309.00	0.080
310.00	0.085
311.00	0.090
312.00	0.095
313.00	0.101
314.00	0.106
315.00	0.112
316.00	0.119
317.00	0.125
318.00	0.132
319.00	0.138
320.00	0.145
321.00	0.152
322.00	0.159
323.00	0.166
324.00	0.173
325.00	0.180
326.00	0.186
327.00	0.193
328.00	0.198
329.00	0.204
330.00	0.209
331.00	0.213
332.00	0.217
333.00	0.221
334.00	0.225
335.00	0.227
336.00	0.229
337.00	0.231
338.00	0.232
339.00	0.233
340.00	0.232
341.00	0.232
342.00	0.231
343.00	0.228
344.00	0.226
345.00	0.223
346.00	0.219
347.00	0.214
348.00	0.209
349.00	0.204
350.00	0.199
351.00	0.193
352.00	0.187
353.00	0.180
354.00	0.174
355.00	0.167
356.00	0.160
357.00	0.153
358.00	0.146
359.00	0.139
360.00	0.133
361.00	0.126
362.00	0.119
363.00	0.113
364.00	0.107
365.00	0.100
366.00	0.094
367.00	0.088
368.00	0.083
369.00	0.077
370.00	0.072
371.00	0.067
372.00	0.062
373.00	0.058
374.00	0.055
375.00	0.051
376.00	0.048
377.00	0.044
378.00	0.042
379.00	0.040
380.00	0.038
381.00	0.036
382.00	0.035
383.00	0.034
384.00	0.033
385.00	0.032
386.00	0.031
387.00	0.031
388.00	0.031
389.00	0.031
390.00	0.031
391.00	0.031
392.00	0.031
393.00	0.032
394.00	0.033
395.00	0.034
396.00	0.035
397.00	0.036
398.00	0.037
399.00	0.038
400.00	0.040
401.00	0.041
402.00	0.043
403.00	0.045
404.00	0.046
405.00	0.048
406.00	0.050
407.00	0.052
408.00	0.054
409.00	0.056
410.00	0.058
411.00	0.061
412.00	0.063
413.00	0.066
414.00	0.068
415.00	0.071
416.00	0.073
417.00	0.076
418.00	0.079
419.00	0.083
420.00	0.086
421.00	0.089
422.00	0.092
423.00	0.096
424.00	0.100
425.00	0.103
426.00	0.107
427.00	0.111
428.00	0.115
429.00	0.119
430.00	0.123
431.00	0.127
432.00	0.131
433.00	0.136
434.00	0.140
435.00	0.144
436.00	0.149
437.00	0.153
438.00	0.158
439.00	0.162
440.00	0.167
441.00	0.172
442.00	0.177
443.00	0.182
444.00	0.186
445.00	0.192
446.00	0.196
447.00	0.201
448.00	0.207
449.00	0.211
450.00	0.216
451.00	0.221
452.00	0.226
453.00	0.230
454.00	0.234
455.00	0.239
456.00	0.243
457.00	0.247
458.00	0.250
459.00	0.254
460.00	0.257
461.00	0.261
462.00	0.264
463.00	0.266
464.00	0.269
465.00	0.272
466.00	0.274
467.00	0.277
468.00	0.278
469.00	0.280
470.00	0.281
471.00	0.283
472.00	0.283
473.00	0.284
474.00	0.284
475.00	0.284
476.00	0.284
477.00	0.283
478.00	0.283
479.00	0.282
480.00	0.280
481.00	0.278
482.00	0.277
483.00	0.275
484.00	0.272
485.00	0.270
486.00	0.267
487.00	0.264
488.00	0.261
489.00	0.258
490.00	0.254
491.00	0.250
492.00	0.246
493.00	0.242
494.00	0.238
495.00	0.233
496.00	0.228
497.00	0.223
498.00	0.218
499.00	0.213
500.00	0.207
501.00	0.202
502.00	0.197
503.00	0.192
504.00	0.187
505.00	0.181
506.00	0.176
507.00	0.171
508.00	0.165
509.00	0.160
510.00	0.155
511.00	0.150
512.00	0.145
513.00	0.140
514.00	0.135
515.00	0.130
516.00	0.125
517.00	0.120
518.00	0.115
519.00	0.110
520.00	0.106
521.00	0.101
522.00	0.096
523.00	0.092
524.00	0.088
525.00	0.084
526.00	0.080
527.00	0.076
528.00	0.072
529.00	0.069
530.00	0.065
531.00	0.062
532.00	0.059
533.00	0.056
534.00	0.054
535.00	0.051
536.00	0.048
537.00	0.046
538.00	0.043
539.00	0.041
540.00	0.039
541.00	0.037
542.00	0.035
543.00	0.033
544.00	0.031
545.00	0.030
546.00	0.028
547.00	0.026
548.00	0.025
549.00	0.024
550.00	0.022
551.00	0.021
552.00	0.020
553.00	0.019
554.00	0.018
555.00	0.017
556.00	0.017
557.00	0.016
558.00	0.015
559.00	0.014
560.00	0.014
561.00	0.013
562.00	0.013
563.00	0.012
564.00	0.012
565.00	0.011
566.00	0.011
567.00	0.010
568.00	0.010
569.00	0.010
570.00	0.009
571.00	0.009
572.00	0.009
573.00	0.008
574.00	0.008
575.00	0.008
576.00	0.008
577.00	0.007
578.00	0.007
579.00	0.007
580.00	0.007
581.00	0.007
582.00	0.007
583.00	0.007
584.00	0.006
585.00	0.006
586.00	0.006
587.00	0.006
588.00	0.006
589.00	0.006
590.00	0.006
591.00	0.006
592.00	0.006
593.00	0.005
594.00	0.005
595.00	0.005
596.00	0.005
597.00	0.005
598.00	0.005
599.00	0.005
600.00	0.005
601.00	0.005
602.00	0.005
603.00	0.005
604.00	0.005
605.00	0.005
606.00	0.005
607.00	0.005
608.00	0.004
609.00	0.005
610.00	0.004
611.00	0.004
612.00	0.004
613.00	0.004
614.00	0.004
615.00	0.004
616.00	0.004
617.00	0.004
618.00	0.004
619.00	0.004
620.00	0.004
621.00	0.004
622.00	0.004
623.00	0.004
624.00	0.004
625.00	0.004
626.00	0.004
627.00	0.004
628.00	0.004
629.00	0.004
630.00	0.004
631.00	0.003
632.00	0.003
633.00	0.004
634.00	0.003
635.00	0.003
636.00	0.003
637.00	0.003
638.00	0.003
639.00	0.003
640.00	0.003
641.00	0.003
642.00	0.003
643.00	0.003
644.00	0.003
645.00	0.003
646.00	0.003
647.00	0.003
648.00	0.003
649.00	0.003
650.00	0.003
651.00	0.003
652.00	0.003
653.00	0.003
654.00	0.003
655.00	0.003
