"co_nh35cl_cl2_jv_fl - 044926"
"Wavelength nm."	"Abs."
250.00	4.000
252.00	3.874
254.00	3.943
256.00	3.946
258.00	3.659
260.00	3.145
262.00	2.687
264.00	2.303
266.00	1.988
268.00	1.746
270.00	1.545
272.00	1.379
274.00	1.244
276.00	1.123
278.00	1.020
280.00	0.926
282.00	0.841
284.00	0.760
286.00	0.687
288.00	0.617
290.00	0.549
292.00	0.484
294.00	0.426
296.00	0.369
298.00	0.319
300.00	0.274
302.00	0.235
304.00	0.202
306.00	0.173
308.00	0.147
310.00	0.126
312.00	0.107
314.00	0.092
316.00	0.079
318.00	0.069
320.00	0.061
322.00	0.054
324.00	0.050
326.00	0.047
328.00	0.046
330.00	0.046
332.00	0.047
334.00	0.048
336.00	0.050
338.00	0.053
340.00	0.056
342.00	0.060
344.00	0.064
346.00	0.067
348.00	0.071
350.00	0.075
352.00	0.078
354.00	0.081
356.00	0.083
358.00	0.085
360.00	0.087
362.00	0.087
364.00	0.087
366.00	0.087
368.00	0.085
370.00	0.083
372.00	0.081
374.00	0.078
376.00	0.075
378.00	0.071
380.00	0.067
382.00	0.063
384.00	0.059
386.00	0.055
388.00	0.051
390.00	0.046
392.00	0.042
394.00	0.039
396.00	0.035
398.00	0.031
400.00	0.029
402.00	0.026
404.00	0.024
406.00	0.022
408.00	0.020
410.00	0.019
412.00	0.018
414.00	0.017
416.00	0.017
418.00	0.017
420.00	0.017
422.00	0.017
424.00	0.018
426.00	0.019
428.00	0.019
430.00	0.020
432.00	0.021
434.00	0.023
436.00	0.024
438.00	0.025
440.00	0.027
442.00	0.029
444.00	0.030
446.00	0.032
448.00	0.034
450.00	0.036
452.00	0.038
454.00	0.039
456.00	0.041
458.00	0.043
460.00	0.045
462.00	0.046
464.00	0.048
466.00	0.050
468.00	0.051
470.00	0.053
472.00	0.055
474.00	0.056
476.00	0.058
478.00	0.060
480.00	0.061
482.00	0.062
484.00	0.064
486.00	0.065
488.00	0.067
490.00	0.068
492.00	0.070
494.00	0.071
496.00	0.073
498.00	0.074
500.00	0.075
502.00	0.077
504.00	0.078
506.00	0.080
508.00	0.081
510.00	0.082
512.00	0.084
514.00	0.085
516.00	0.086
518.00	0.087
520.00	0.088
522.00	0.089
524.00	0.090
526.00	0.090
528.00	0.091
530.00	0.091
532.00	0.091
534.00	0.091
536.00	0.091
538.00	0.091
540.00	0.090
542.00	0.089
544.00	0.088
546.00	0.086
548.00	0.085
550.00	0.083
552.00	0.081
554.00	0.079
556.00	0.077
558.00	0.075
560.00	0.072
562.00	0.070
564.00	0.067
566.00	0.064
568.00	0.061
570.00	0.058
572.00	0.055
574.00	0.052
576.00	0.050
578.00	0.047
580.00	0.044
582.00	0.041
584.00	0.039
586.00	0.036
588.00	0.034
590.00	0.031
592.00	0.029
594.00	0.027
596.00	0.025
598.00	0.023
600.00	0.021
602.00	0.019
604.00	0.018
606.00	0.016
608.00	0.015
610.00	0.014
612.00	0.012
614.00	0.011
616.00	0.010
618.00	0.009
620.00	0.009
622.00	0.008
624.00	0.007
626.00	0.007
628.00	0.006
630.00	0.006
632.00	0.005
634.00	0.005
636.00	0.004
638.00	0.004
640.00	0.004
642.00	0.004
644.00	0.003
646.00	0.003
648.00	0.003
650.00	0.003
652.00	0.003
654.00	0.003
656.00	0.002
658.00	0.002
660.00	0.002
662.00	0.002
664.00	0.002
666.00	0.002
668.00	0.002
670.00	0.002
672.00	0.002
674.00	0.002
676.00	0.002
678.00	0.002
680.00	0.002
682.00	0.002
684.00	0.002
686.00	0.001
688.00	0.001
690.00	0.001
692.00	0.001
694.00	0.001
696.00	0.001
698.00	0.001
700.00	0.001
702.00	0.001
704.00	0.001
706.00	0.001
708.00	0.001
710.00	0.001
712.00	0.001
714.00	0.001
716.00	0.001
718.00	0.001
720.00	0.001
722.00	0.001
724.00	0.001
726.00	0.001
728.00	0.001
730.00	0.001
732.00	0.001
734.00	0.001
736.00	0.001
738.00	0.001
740.00	0.001
742.00	0.001
744.00	0.001
746.00	0.001
748.00	0.001
750.00	0.001
752.00	0.001
754.00	0.001
756.00	0.001
758.00	0.001
760.00	0.001
762.00	0.001
764.00	0.001
766.00	0.001
768.00	0.001
770.00	0.001
772.00	0.001
774.00	0.001
776.00	0.001
778.00	0.001
780.00	0.001
782.00	0.001
784.00	0.001
786.00	0.001
788.00	0.001
790.00	0.001
792.00	0.001
794.00	0.001
796.00	0.001
798.00	0.001
800.00	0.001
