"co_nh35cl_cl2_jv_fl_v2 - 050833"
"Wavelength nm."	"Abs."
250.00	2.318
252.00	1.923
254.00	1.579
256.00	1.295
258.00	1.070
260.00	0.896
262.00	0.759
264.00	0.652
266.00	0.564
268.00	0.495
270.00	0.439
272.00	0.392
274.00	0.354
276.00	0.320
278.00	0.291
280.00	0.264
282.00	0.240
284.00	0.218
286.00	0.197
288.00	0.177
290.00	0.158
292.00	0.140
294.00	0.123
296.00	0.107
298.00	0.093
300.00	0.081
302.00	0.070
304.00	0.060
306.00	0.052
308.00	0.045
310.00	0.039
312.00	0.034
314.00	0.029
316.00	0.025
318.00	0.023
320.00	0.020
322.00	0.018
324.00	0.017
326.00	0.016
328.00	0.016
330.00	0.016
332.00	0.016
334.00	0.017
336.00	0.017
338.00	0.018
340.00	0.018
342.00	0.020
344.00	0.021
346.00	0.022
348.00	0.023
350.00	0.024
352.00	0.025
354.00	0.026
356.00	0.026
358.00	0.027
360.00	0.027
362.00	0.027
364.00	0.028
366.00	0.027
368.00	0.027
370.00	0.026
372.00	0.026
374.00	0.025
376.00	0.024
378.00	0.023
380.00	0.022
382.00	0.021
384.00	0.020
386.00	0.018
388.00	0.017
390.00	0.016
392.00	0.015
394.00	0.014
396.00	0.013
398.00	0.012
400.00	0.011
402.00	0.010
404.00	0.010
406.00	0.009
408.00	0.009
410.00	0.008
412.00	0.008
414.00	0.008
416.00	0.008
418.00	0.008
420.00	0.008
422.00	0.008
424.00	0.008
426.00	0.008
428.00	0.008
430.00	0.008
432.00	0.009
434.00	0.009
436.00	0.009
438.00	0.010
440.00	0.010
442.00	0.011
444.00	0.011
446.00	0.011
448.00	0.012
450.00	0.012
452.00	0.013
454.00	0.013
456.00	0.014
458.00	0.014
460.00	0.015
462.00	0.015
464.00	0.016
466.00	0.016
468.00	0.016
470.00	0.017
472.00	0.018
474.00	0.018
476.00	0.018
478.00	0.019
480.00	0.019
482.00	0.019
484.00	0.020
486.00	0.020
488.00	0.021
490.00	0.021
492.00	0.022
494.00	0.022
496.00	0.023
498.00	0.023
500.00	0.023
502.00	0.024
504.00	0.024
506.00	0.025
508.00	0.025
510.00	0.025
512.00	0.026
514.00	0.026
516.00	0.026
518.00	0.027
520.00	0.027
522.00	0.027
524.00	0.028
526.00	0.028
528.00	0.028
530.00	0.028
532.00	0.028
534.00	0.028
536.00	0.028
538.00	0.028
540.00	0.027
542.00	0.027
544.00	0.027
546.00	0.027
548.00	0.026
550.00	0.026
552.00	0.025
554.00	0.024
556.00	0.024
558.00	0.023
560.00	0.023
562.00	0.022
564.00	0.021
566.00	0.020
568.00	0.019
570.00	0.019
572.00	0.018
574.00	0.017
576.00	0.016
578.00	0.015
580.00	0.015
582.00	0.014
584.00	0.013
586.00	0.012
588.00	0.012
590.00	0.011
592.00	0.010
594.00	0.010
596.00	0.009
598.00	0.008
600.00	0.008
602.00	0.007
604.00	0.007
606.00	0.007
608.00	0.006
610.00	0.006
612.00	0.006
614.00	0.005
616.00	0.005
618.00	0.005
620.00	0.004
622.00	0.004
624.00	0.004
626.00	0.004
628.00	0.004
630.00	0.004
632.00	0.003
634.00	0.003
636.00	0.003
638.00	0.003
640.00	0.003
642.00	0.003
644.00	0.003
646.00	0.003
648.00	0.003
650.00	0.003
652.00	0.003
654.00	0.003
656.00	0.002
658.00	0.002
660.00	0.002
662.00	0.002
664.00	0.002
666.00	0.002
668.00	0.002
670.00	0.002
672.00	0.002
674.00	0.002
676.00	0.002
678.00	0.002
680.00	0.002
682.00	0.002
684.00	0.002
686.00	0.002
688.00	0.002
690.00	0.002
692.00	0.002
694.00	0.002
696.00	0.002
698.00	0.002
700.00	0.002
702.00	0.002
704.00	0.002
706.00	0.002
708.00	0.002
710.00	0.002
712.00	0.002
714.00	0.002
716.00	0.002
718.00	0.002
720.00	0.002
722.00	0.002
724.00	0.002
726.00	0.002
728.00	0.002
730.00	0.002
732.00	0.002
734.00	0.002
736.00	0.002
738.00	0.002
740.00	0.002
742.00	0.002
744.00	0.002
746.00	0.002
748.00	0.002
750.00	0.002
752.00	0.002
754.00	0.002
756.00	0.002
758.00	0.002
760.00	0.002
762.00	0.002
764.00	0.002
766.00	0.002
768.00	0.002
770.00	0.002
772.00	0.002
774.00	0.002
776.00	0.002
778.00	0.002
780.00	0.002
782.00	0.002
784.00	0.002
786.00	0.002
788.00	0.002
790.00	0.002
792.00	0.002
794.00	0.002
796.00	0.002
798.00	0.002
800.00	0.002
